Date,Open,High,Low,Close,Adj Close,Volume,FedRate,CPI,Confirmed,Deaths,Active,Ticker
2020-01-01,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-02,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-03,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-04,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-05,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-06,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-07,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-08,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-09,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-10,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.54,258.906,1.0,1.0,0.0,SOL-USD
2020-01-11,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.54,258.906,1.0,1.0,0.0,SOL-USD
2020-01-12,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.54,258.906,1.0,1.0,0.0,SOL-USD
2020-01-13,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.54,258.906,1.0,1.0,0.0,SOL-USD
2020-01-14,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.54,258.906,1.0,1.0,0.0,SOL-USD
2020-01-15,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.54,258.906,1.0,1.0,0.0,SOL-USD
2020-01-16,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.54,258.906,1.0,1.0,0.0,SOL-USD
2020-01-17,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-18,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-19,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-20,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-21,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-22,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-23,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,1.0,1.0,0.0,SOL-USD
2020-01-24,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,2.0,1.0,1.0,SOL-USD
2020-01-25,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,2.0,1.0,1.0,SOL-USD
2020-01-26,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,5.0,1.0,4.0,SOL-USD
2020-01-27,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,5.0,1.0,4.0,SOL-USD
2020-01-28,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,5.0,1.0,4.0,SOL-USD
2020-01-29,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.55,258.906,6.0,1.0,5.0,SOL-USD
2020-01-30,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.6,258.906,6.0,1.0,5.0,SOL-USD
