Date,Confirmed,Deaths,Active
2020-01-22,1,1,0
2020-01-23,1,1,0
2020-01-24,2,1,1
2020-01-25,2,1,1
2020-01-26,5,1,4
2020-01-27,5,1,4
2020-01-28,5,1,4
2020-01-29,6,1,5
2020-01-30,6,1,5
2020-01-31,8,1,7
2020-02-01,8,1,7
2020-02-02,8,1,7
2020-02-03,11,1,10
2020-02-04,11,1,10
2020-02-05,11,1,10
2020-02-06,12,1,11
2020-02-07,12,1,11
2020-02-08,12,1,11
2020-02-09,12,1,11
2020-02-10,12,1,11
2020-02-11,13,1,12
2020-02-12,13,1,12
2020-02-13,14,1,13
2020-02-14,14,1,13
2020-02-15,14,1,13
2020-02-16,14,1,13
2020-02-17,15,1,14
2020-02-18,16,1,15
2020-02-19,16,1,15
2020-02-20,16,1,15
2020-02-21,16,1,15
2020-02-22,16,1,15
2020-02-23,16,1,15
2020-02-24,17,1,16
2020-02-25,18,1,17
2020-02-26,19,1,18
2020-02-27,19,1,18
2020-02-28,19,1,18
2020-02-29,26,2,24
2020-03-01,39,2,37
2020-03-02,57,7,50
2020-03-03,79,8,71
2020-03-04,113,12,101
2020-03-05,184,13,171
2020-03-06,247,15,232
2020-03-07,417,18,399
2020-03-08,538,22,516
2020-03-09,630,24,606
2020-03-10,797,29,768
2020-03-11,1156,34,1122
2020-03-12,1596,45,1551
2020-03-13,2222,52,2170
2020-03-14,2952,61,2891
2020-03-15,3234,72,3162
2020-03-16,4667,97,4570
2020-03-17,6450,133,6317
2020-03-18,9156,198,8958
2020-03-19,13663,273,13390
2020-03-20,20064,378,19686
2020-03-21,26056,482,25574
2020-03-22,34944,603,34341
2020-03-23,46096,790,45306
2020-03-24,56714,1033,55681
2020-03-25,68841,1366,67475
2020-03-26,86662,1783,84879
2020-03-27,105253,2305,102948
2020-03-28,127417,3018,124399
2020-03-29,143544,3573,139971
2020-03-30,165698,4280,161418
2020-03-31,192079,5359,186720
2020-04-01,227543,6989,220554
2020-04-02,259798,8535,251263
2020-04-03,292201,9971,282230
2020-04-04,323965,11590,312375
2020-04-05,353117,13227,339890
2020-04-06,385110,14989,370121
2020-04-07,415256,17595,397661
2020-04-08,446500,19747,426753
2020-04-09,481981,22003,459978
2020-04-10,516396,24160,492236
2020-04-11,545313,26295,519018
2020-04-12,571551,28203,543348
2020-04-13,598789,30204,568585
2020-04-14,627306,32685,594621
2020-04-15,653345,35284,618061
2020-04-16,682962,37479,645483
2020-04-17,716152,39583,676569
2020-04-18,743464,41521,701943
2020-04-19,768888,43510,725378
2020-04-20,799149,45768,753381
2020-04-21,825478,48245,777233
2020-04-22,855445,50711,804734
2020-04-23,887523,53138,834385
2020-04-24,919014,55201,863813
2020-04-25,949640,56939,892701
2020-04-26,975537,58354,917183
2020-04-27,1000230,59840,940390
2020-04-28,1024834,62072,962762
2020-04-29,1051643,64446,987197
2020-04-30,1081150,66636,1014514
2020-05-01,1115972,68516,1047456
2020-05-02,1142619,70289,1072330
2020-05-03,1166189,71492,1094697
2020-05-04,1190240,72862,1117378
2020-05-05,1214321,75041,1139280
2020-05-06,1238694,77359,1161335
2020-05-07,1266904,79262,1187642
2020-05-08,1294111,81031,1213080
2020-05-09,1318358,82502,1235856
2020-05-10,1337061,83503,1253558
2020-05-11,1356283,84529,1271754
2020-05-12,1379661,86119,1293542
2020-05-13,1399662,87814,1311848
2020-05-14,1425539,89579,1335960
2020-05-15,1449938,91205,1358733
2020-05-16,1473806,92374,1381432
2020-05-17,1492449,93190,1399259
2020-05-18,1514833,94412,1420421
2020-05-19,1535591,95840,1439751
2020-05-20,1558430,97309,1461121
2020-05-21,1583542,98491,1485051
2020-05-22,1607464,99695,1507769
2020-05-23,1627392,100773,1526619
2020-05-24,1647513,101410,1546103
2020-05-25,1666699,102010,1564689
2020-05-26,1685395,102663,1582732
2020-05-27,1704200,104115,1600085
2020-05-28,1725329,105180,1620149
2020-05-29,1750066,106289,1643777
2020-05-30,1772783,107236,1665547
2020-05-31,1791547,107857,1683690
2020-06-01,1809384,108624,1700760
2020-06-02,1829340,109603,1719737
2020-06-03,1848388,110603,1737785
2020-06-04,1876099,111601,1764498
2020-06-05,1902280,112470,1789810
2020-06-06,1922433,113108,1809325
2020-06-07,1940242,113568,1826674
2020-06-08,1957154,114070,1843084
2020-06-09,1977478,114979,1862499
2020-06-10,1999224,115836,1883388
2020-06-11,2021527,116643,1904884
2020-06-12,2047082,117466,1929616
2020-06-13,2071218,118174,1953044
2020-06-14,2090171,118522,1971649
2020-06-15,2111266,118920,1992346
2020-06-16,2135894,119695,2016199
2020-06-17,2162973,120436,2042537
2020-06-18,2191211,121133,2070078
2020-06-19,2222207,121760,2100447
2020-06-20,2254073,122323,2131750
2020-06-21,2279932,122642,2157290
2020-06-22,2309921,123021,2186900
2020-06-23,2348750,123751,2224999
2020-06-24,2385029,124506,2260523
2020-06-25,2424386,125058,2299328
2020-06-26,2473472,125688,2347784
2020-06-27,2514305,126188,2388117
2020-06-28,2557223,126512,2430711
2020-06-29,2598741,126881,2471860
2020-06-30,2648797,127432,2521365
2020-07-01,2698127,128134,2569993
2020-07-02,2753211,128883,2624328
2020-07-03,2804869,129561,2675308
2020-07-04,2850893,129872,2721021
2020-07-05,2904843,130201,2774642
2020-07-06,2948475,130582,2817893
2020-07-07,3005888,131723,2874165
2020-07-08,3066392,132562,2933830
2020-07-09,3126225,133601,2992624
2020-07-10,3194747,134407,3060340
2020-07-11,3255188,135167,3120021
2020-07-12,3315408,135640,3179768
2020-07-13,3375033,136084,3238949
2020-07-14,3440790,136988,3303802
2020-07-15,3507089,137942,3369147
2020-07-16,3577863,138921,3438942
2020-07-17,3644285,139844,3504441
2020-07-18,3708610,140733,3567877
2020-07-19,3767603,141215,3626388
2020-07-20,3828459,141750,3686709
2020-07-21,3896754,142845,3753909
2020-07-22,3964204,144066,3820138
2020-07-23,4031971,145139,3886832
2020-07-24,4106920,146232,3960688
2020-07-25,4170675,147196,4023479
2020-07-26,4226306,147744,4078562
2020-07-27,4286303,148848,4137455
2020-07-28,4350867,150063,4200804
2020-07-29,4414919,151495,4263424
2020-07-30,4484123,152808,4331315
2020-07-31,4548498,153969,4394529
2020-08-01,4605922,155090,4450832
2020-08-02,4652811,155566,4497245
2020-08-03,4694707,156127,4538580
2020-08-04,4756328,157375,4598953
2020-08-05,4810465,158790,4651675
2020-08-06,4870501,159971,4710530
2020-08-07,4930942,161266,4769676
2020-08-08,4994709,162356,4832353
2020-08-09,5048872,162937,4885935
2020-08-10,5100509,163465,4937044
2020-08-11,5157385,164545,4992840
2020-08-12,5212607,166049,5046558
2020-08-13,5264053,167077,5096976
2020-08-14,5334125,168380,5165745
2020-08-15,5386450,169423,5217027
2020-08-16,5421027,170034,5250993
2020-08-17,5459024,170513,5288511
2020-08-18,5503999,171742,5332257
2020-08-19,5549914,172421,5377493
2020-08-20,5595049,173519,5421530
2020-08-21,5642949,174616,5468333
2020-08-22,5688220,175578,5512642
2020-08-23,5720123,176080,5544043
2020-08-24,5754214,176511,5577703
2020-08-25,5796776,177729,5619047
2020-08-26,5838968,178882,5660086
2020-08-27,5889405,179990,5709415
2020-08-28,5935725,180906,5754819
2020-08-29,5978796,181869,5796927
2020-08-30,6012964,182309,5830655
2020-08-31,6046490,182794,5863696
2020-09-01,6088459,183855,5904604
2020-09-02,6128577,184927,5943650
2020-09-03,6173788,185950,5987838
2020-09-04,6222447,186900,6035547
2020-09-05,6265685,187691,6077994
2020-09-06,6294763,188129,6106634
2020-09-07,6319465,188452,6131013
2020-09-08,6346568,188921,6157647
2020-09-09,6380419,190021,6190398
2020-09-10,6420041,190930,6229111
